orderId,postalCode,latitude,longitude,location,GMV,clientId,GMVByLoc,clientsByLoc,salesByLoc
"1442787125639-01",56610,"19.281244","-98.9571151","19.281244Ø-98.9571151",2198,"05eed239-3e0e-47af-91d2-b5ea94cf6882",318641,43,58
"1439837105761-01",56607,"19.272926","-98.9122924","19.272926Ø-98.9122924",18999,"012d3cc1-fe70-4219-9af1-b931c72cb8f7","495894.13",67,88
"1442187121101-01",56619,"19.292188","-98.9403457","19.292188Ø-98.9403457",20899,"0bf6ef74-01ec-4904-952d-c8ee3bdff320","384553.16000000003",51,74
"1441587118009-01",56624,"19.208658","-98.9649047","19.208658Ø-98.9649047",2871,"c0dd41ad-b394-4be1-a0e4-c2d51d6ddddd",42332,7,10
"1432167003959-01",56600,"19.27384","-98.88715","19.27384Ø-98.88715",2946,"103dc8a4-1868-4b7c-b0e5-f5831ef334a9",120409,14,17
"1440607110876-01",56641,"19.247709","-98.8431396","19.247709Ø-98.8431396",5199,"25012945-3086-4381-b962-9320cca7ca73",23621,8,8
"1439667104674-01",56616,"19.280849","-98.9255828","19.280849Ø-98.9255828",4098,"c125d333-5d2d-457c-9d62-109ed50ae576","323757.23",54,80
"1432937035842-01",56605,"19.286935","-98.8981475","19.286935Ø-98.8981475",7699,"deace2cf-8743-4f81-b014-50b164b26e64","280486.36",33,48
"1439907106311-01",56600,"19.252481","-98.8920516","19.252481Ø-98.8920516",2873,"44664717-3813-4348-b985-ed70cf92c601","707876.35",72,146
"1439817105568-02",56600,"19.252481","-98.8920517","19.252481Ø-98.8920517",4787,"b96de28e-acb8-4425-b165-4d24b639ce41",252923,39,48
"1439077100806-01",56604,"19.272794","-98.8990249","19.272794Ø-98.8990249",979,"a7d03570-6a02-48d7-a0ad-42a47b4891f8","203020.97",22,32
"1438367096885-01",56617,"19.290264","-98.9155654","19.290264Ø-98.9155654",16599,"4f97e1fa-01e0-496f-9bf3-e1e6ebda90a4","649302.47",83,124
"1438117095508-01",56615,"19.304712","-98.9514465","19.304712Ø-98.9514465",5549,"9d733f4c-ae7d-4d9a-9d84-bcaa90cb58aa","548831.6000000001",65,108
"1438567097750-01",56644,"19.261009","-98.8449173","19.261009Ø-98.8449173",2799,"62fd2aa7-fc6b-43e3-b0f1-faedbb030f75","215202.35",25,27
"1436727087061-01",56607,"19.2948","-98.94003","19.2948Ø-98.94003",1349,"4ed1f4e3-9952-4644-9dda-a37f0a9e7fa9","198286.2",33,37
"1437627091833-01",56606,"19.283935","-98.9093551","19.283935Ø-98.9093551",360,"aa4ea7bd-87bb-4470-afe5-56c1e36ae001",170991,25,37
"1437357090287-01",56643,"19.303468","-98.8649292","19.303468Ø-98.8649292",2449,"8d633444-bd29-466b-8be6-df23a0b04ce5",46554,6,6
"1433557050847-01",56640,"19.246379","-98.8573074","19.246379Ø-98.8573074",6159,"c78ceb7d-4dce-4052-be0d-d94f897391d1",254417,32,59
"1434497070305-01",56608,"19.282726","-98.8900604","19.282726Ø-98.8900604",16599,"0c73f58e-42d0-4e4c-8eea-fe91e981e3c6","190239.5",18,37
"1432697027397-01",56613,"19.269714","-98.9414978","19.269714Ø-98.9414978",14799,"30662e76-5fb9-4c43-a997-95f292fa4c71","607925.1399999999",80,123
"1433667054765-01",56647,"19.222467","-98.8153457","19.222467Ø-98.8153457",16559,"2893ebb4-a93f-4e56-92c8-862e076cc69a",34323,8,14
"1432387005135-01",56646,"19.256631","-98.8200988","19.256631Ø-98.8200988",6799,"c374a77d-b0e5-48f9-ac4b-95d00c0a15f9",32280,5,6
"1432687025676-01",56623,"19.207899","-98.9310836","19.207899Ø-98.9310836",6999,"650514e9-e93d-4584-b2fb-5ee4848534fe",9699,2,2
"1432607018860-01",56618,"19.324436","-98.9507446","19.324436Ø-98.9507446",1599,"04f1d446-bce7-4b45-9f47-f0b5129ad5e0","264031.29000000004",33,52
"1430086992876-01",56625,"19.232555","-98.9224243","19.232555Ø-98.9224243",16699,"12362667-af73-4e55-9685-67ba541a7076",130497,13,22
"1429926991706-01",56614,"19.262815","-98.9315032","19.262815Ø-98.9315032",11646,"d3680fb1-d5ee-4274-9987-a31d40be5752",91986,12,17
"1427036971498-01",56614,"19.262815","-98.9315033","19.262815Ø-98.9315033",5745,"d3fb03b6-91c2-4a79-a69b-16b0145125ac",27777,5,6
"1415626900709-01",56600,"19.26113","-98.8949","19.26113Ø-98.8949",16999,"be618eed-0c81-4f55-bf74-113d60b55390",336625,43,54
"1417336911450-01",56620,"19.208835","-98.9122924","19.208835Ø-98.9122924",2194,"010624f8-3bc1-4d33-b07c-f06b8e22e8fc","74628.81",10,12
"1416806907885-01",56643,"19.303468","-98.8649291","19.303468Ø-98.8649291",5529,"3ef3af5c-93b2-462e-a940-1905b540d739",100987,16,21
"1377776710922-02",56644,"19.261009","-98.8449172","19.261009Ø-98.8449172",1737,"c95fc123-24cc-499d-8668-7aa43c16e90f","272413.3",50,71
"1356456522617-01",56600,"19.26155","-98.89479","19.26155Ø-98.89479",18999,"2520b8bc-3e2d-46ce-9f08-167eb8cafb15",819704,87,114
"1361856563474-01",56600,"19.26155","-98.89481","19.26155Ø-98.89481",749,"2520b8bc-3e2d-46ce-9f08-167eb8cafb15",12747,2,2
"1342926396471-01",56642,"19.268531","-98.8600387","19.268531Ø-98.8600387",18999,"631da3e0-4d3c-4556-9222-123abc881530",67298,6,12
"1340286376593-01",56609,"19.283184","-98.8801345","19.283184Ø-98.8801345",5299,"649876d6-6e7c-4cc3-b7e3-c8207bf807d0",13598,2,2
